personal outdoor home time_out
26.29 35.877710357 22.29 0.57
14.63 43.791892308 13.97 0.9
21.45 49.812547241 18.96 0.55
3.3 34.373658352 22.27 0.17
29.28 45.954961099 23.4 0
29.77 64.765583519 39.62 0.3
31.97 88.863180828 44.12 0.05
32.45 81.915613577 45.74 0.33
28.55 92.563336685 7.14 0.26
46.01 58.545123735 30.73 0.51
40.2 88.816793893 31.68 0.34
37.58 104.0997389 45.1 0.42
38.28 30.435014071 35.38 0.69
22.1 44.673197409 24.36 0.08
28.85 68.86153511 38.84 0.09
25.78 86.912348638 35.38 0.24
53.18 70.002824362 11.13 0.65
25.67 66.338883516 15.05 0.27
19.04 39.346912365 3.79 0.38
11.78 33.521344774 16.74 0.63
8.01 39.893546512 17.83 0.12
3.23 31.088231819 7.89 0.16
13.54 41.623849283 18.85 0.12
9.82 23.485127273 19.44 0.11
0.59 38.576742812 24.7 0.33
67.18 73.986260969 24.76 0.41
11.49 36.513594519 28.82 0.04
22.19 60.325054545 26.12 0.17
31.44 37.695175266 12.89 0.21
13.94 71.878065624 9.51 0.38
34.24 35.68935988 32.24 0.26
18.93 21.474727273 22.2 0.54
38.76 68.259946585 45.31 0.17
20.88 11.603334626 0.8 0.09
11.81 20.648691938 5.71 0.78
0.46 50.75432479 8.03 0.66
18.85 44.419574312 11.88 0.65
11.66 50.658630137 11.47 0.56
47.19 13.706863125 10.01 0.28
39.12 23.772023492 18.69 0.42
43.81 50.146670498 26.21 0.33
61.19 54.318385321 46.04 0.45
27.21 39.10630137 31.81 0.04
0.91 14.480418767 5.84 0
9.06 58.365194805 13.45 0.13
13.12 45.253409174 6.81 0.08
32.81 63.981889764 30.56 0.1
19.31 18.976190693 14.7 0.08
39.59 28.412094395 12.01 0.33
3.34 18.691709845 4.11 0.04
25.83 12.731637611 21.28 0.25
23.75 34.089808661 17.49 0.25
13.33 28.530973451 11.93 0.25
0.67 14.968502863 3.26 0.16
14.9 22.953323807 7.28 0.29
26.71 41.265730111 13.15 0.21
25.04 40.539571304 14.46 0.28
15.65 35.283303835 18.64 0.25
3.33 12.970684483 4.56 0.13
6.77 27.682217777 11.18 0.12
45.13 40.094833837 24 0.33
12.14 49.610416337 17.74 0
5.19 53.28555741 6.24 0.04
48.65 45.242203578 23.74 0
