"Collaborators","Count","Abstract"
"Baylor College of Medicine",18,"the clinical sequencing evidence-generating research (cser) consortium, now inits second funding cycle, is investigating the effectiveness of integratinggenomic (exome or genome) sequencing into the clinical care of diverse andmedically underserved individuals in a variety of healthcare settings and diseasestates. the consortium comprises a coordinating center, six funded extramuralclinical projects, and an ongoing national human genome research institute(nhgri) intramural project. collectively, these projects aim to enroll andsequence over 6,100 participants in four years. at least 60% of participants willbe of non-european ancestry or from underserved settings, with the goal ofdiversifying the populations that are providing an evidence base for genomicmedicine. five of the six clinical projects are enrolling pediatric patients withvarious phenotypes. one of these five projects is also enrolling couples whosefetus has a structural anomaly, and the sixth project is enrolling adults at riskfor hereditary cancer. the ongoing nhgri intramural project has enrolledprimarily healthy adults. goals of the consortium include assessing the clinicalutility of genomic sequencing, exploring medical follow up and cascade testing ofrelatives, and evaluating patient-provider-laboratory level interactions thatinfluence the use of this technology. the findings from the cser consortium willoffer patients, healthcare systems, and policymakers a clearer understanding ofthe opportunities and challenges of providing genomic medicine in diversepopulations and settings, and contribute evidence toward developing bestpractices for the delivery of clinically useful and cost-effective genomicsequencing in diverse healthcare settings."
"Baylor College of Medicine",18,"the clinical sequencing evidence-generating research (cser) consortium, now inits second funding cycle, is investigating the effectiveness of integratinggenomic (exome or genome) sequencing into the clinical care of diverse andmedically underserved individuals in a variety of healthcare settings and diseasestates. the consortium comprises a coordinating center, six funded extramuralclinical projects, and an ongoing national human genome research institute(nhgri) intramural project. collectively, these projects aim to enroll andsequence over 6,100 participants in four years. at least 60% of participants willbe of non-european ancestry or from underserved settings, with the goal ofdiversifying the populations that are providing an evidence base for genomicmedicine. five of the six clinical projects are enrolling pediatric patients withvarious phenotypes. one of these five projects is also enrolling couples whosefetus has a structural anomaly, and the sixth project is enrolling adults at riskfor hereditary cancer. the ongoing nhgri intramural project has enrolledprimarily healthy adults. goals of the consortium include assessing the clinicalutility of genomic sequencing, exploring medical follow up and cascade testing ofrelatives, and evaluating patient-provider-laboratory level interactions thatinfluence the use of this technology. the findings from the cser consortium willoffer patients, healthcare systems, and policymakers a clearer understanding ofthe opportunities and challenges of providing genomic medicine in diversepopulations and settings, and contribute evidence toward developing bestpractices for the delivery of clinically useful and cost-effective genomicsequencing in diverse healthcare settings."
"Baylor College of Medicine",18,"the clinical genome resource (clingen) is supported by the national institutes ofhealth (nih) to develop expertly curated and freely accessible resources definingthe clinical relevance of genes and variants for use in precision medicine andresearch. to facilitate expert input, clingen has formed clinical domain workinggroups (cdwgs) to leverage the collective knowledge of clinicians, laboratorydiagnosticians, and researchers. in the initial phase of clingen, cdwgs werelaunched in the cardiovascular, hereditary cancer, and inborn errors ofmetabolism clinical fields. these early cdwgs established the infrastructurenecessary to implement standardized processes developed or adopted by clingenworking groups for the interpretation of gene-disease associations and variantpathogenicity, and provided a sustainable model for the formation of futuredisease-focused curation groups. the establishment of cdwgs requires recruitmentof international experts to broadly represent the interests of their field andensure that assertions made are reliable and widely accepted. building on thesuccesses, challenges, and trade-offs made in establishing the original cdwgs,clingen has developed standard operating procedures for the development of cdwgsin new clinical domains, while maximizing efforts to scale up curation andfacilitate involvement of external groups who wish to utilize clingen methods andinfrastructure for expert curation."
"Baylor College of Medicine",18,"melanoma is the most aggressive type of skin cancer in the united states with anincreasing incidence. melanoma lesions often exhibit high immunogenicity, withinfiltrating immune cells playing important roles in regression of tumorsoccurring spontaneously or caused by therapeutic treatment. computational andexperimental methods have been used to estimate the abundance of immune cells intumors, but their applications are limited by the requirement of large gene setsor multiple antibodies. although the prognostic role of immune cells has beenappreciated, a systematic investigation of their association with clinicalfactors, genomic features, prognosis and treatment response in melanoma is stilllacking. this study, identifies a 25-gene signature based on rna-seq data fromthe cancer genome atlas (tcga)-skin cutaneous melanoma (tcga-skcm) dataset. thissignature was used to calculate sample-specific leukocyte infiltration scores(lis) in six independent melanoma microarray datasets and scores were found tovary substantially between different melanoma lesion sites and molecularsubtypes. for metastatic melanoma, lis was prognostic in all datasets with highlis being associated with good survival. the current approach provided additionalprognostic information over established clinical factors, including age, tumorstage, and gender. in addition, lis was predictive of patient survival in stageiii melanoma, and treatment efficacy of tumor-specific antigenvaccine.implications: this study identifies a 25-gene signature that effectivelyestimates the level of immune cell infiltration in melanoma, which provides arobust biomarker for predicting patient prognosis. mol cancer res; 1-11. â©2018aacr."
"Baylor College of Medicine",18,"rna sequencing (rna-seq) detects estrogen receptor alpha gene (esr1) fusiontranscripts in estrogen receptor-positive (er+) breast cancer, but their role indisease pathogenesis remains unclear. we examined multiple esr1 fusions and foundthat two, both identified in advanced endocrine treatment-resistant disease,encoded stable and functional fusion proteins. in both examples, esr1-e6>yap1 andesr1-e6>pcdh11x, esr1 exons 1-6 were fused in frame to c-terminal sequences fromthe partner gene. functional properties include estrogen-independent growth,constitutive expression of er target genes, and anti-estrogen resistance. bothfusions activate a metastasis-associated transcriptional program, induce cellularmotility, and promote the development of lung metastasis. esr1-e6>yap1- andesr1-e6>pcdh11x-induced growth remained sensitive to a cdk4/6 inhibitor, and apatient-derived xenograft (pdx) naturally expressing the esr1-e6>yap1 fusion wasalso responsive. transcriptionally active esr1 fusions therefore trigger bothendocrine therapy resistance and metastatic progression, explaining theassociation with fatal disease progression, although cdk4/6 inhibitor treatmentis predicted to be effective."
"Baylor College of Medicine",18,"rna sequencing (rna-seq) detects estrogen receptor alpha gene (esr1) fusiontranscripts in estrogen receptor-positive (er+) breast cancer, but their role indisease pathogenesis remains unclear. we examined multiple esr1 fusions and foundthat two, both identified in advanced endocrine treatment-resistant disease,encoded stable and functional fusion proteins. in both examples, esr1-e6>yap1 andesr1-e6>pcdh11x, esr1 exons 1-6 were fused in frame to c-terminal sequences fromthe partner gene. functional properties include estrogen-independent growth,constitutive expression of er target genes, and anti-estrogen resistance. bothfusions activate a metastasis-associated transcriptional program, induce cellularmotility, and promote the development of lung metastasis. esr1-e6>yap1- andesr1-e6>pcdh11x-induced growth remained sensitive to a cdk4/6 inhibitor, and apatient-derived xenograft (pdx) naturally expressing the esr1-e6>yap1 fusion wasalso responsive. transcriptionally active esr1 fusions therefore trigger bothendocrine therapy resistance and metastatic progression, explaining theassociation with fatal disease progression, although cdk4/6 inhibitor treatmentis predicted to be effective."
"Baylor College of Medicine",18,"rna sequencing (rna-seq) detects estrogen receptor alpha gene (esr1) fusiontranscripts in estrogen receptor-positive (er+) breast cancer, but their role indisease pathogenesis remains unclear. we examined multiple esr1 fusions and foundthat two, both identified in advanced endocrine treatment-resistant disease,encoded stable and functional fusion proteins. in both examples, esr1-e6>yap1 andesr1-e6>pcdh11x, esr1 exons 1-6 were fused in frame to c-terminal sequences fromthe partner gene. functional properties include estrogen-independent growth,constitutive expression of er target genes, and anti-estrogen resistance. bothfusions activate a metastasis-associated transcriptional program, induce cellularmotility, and promote the development of lung metastasis. esr1-e6>yap1- andesr1-e6>pcdh11x-induced growth remained sensitive to a cdk4/6 inhibitor, and apatient-derived xenograft (pdx) naturally expressing the esr1-e6>yap1 fusion wasalso responsive. transcriptionally active esr1 fusions therefore trigger bothendocrine therapy resistance and metastatic progression, explaining theassociation with fatal disease progression, although cdk4/6 inhibitor treatmentis predicted to be effective."
"Baylor College of Medicine",18,"rna sequencing (rna-seq) detects estrogen receptor alpha gene (esr1) fusiontranscripts in estrogen receptor-positive (er+) breast cancer, but their role indisease pathogenesis remains unclear. we examined multiple esr1 fusions and foundthat two, both identified in advanced endocrine treatment-resistant disease,encoded stable and functional fusion proteins. in both examples, esr1-e6>yap1 andesr1-e6>pcdh11x, esr1 exons 1-6 were fused in frame to c-terminal sequences fromthe partner gene. functional properties include estrogen-independent growth,constitutive expression of er target genes, and anti-estrogen resistance. bothfusions activate a metastasis-associated transcriptional program, induce cellularmotility, and promote the development of lung metastasis. esr1-e6>yap1- andesr1-e6>pcdh11x-induced growth remained sensitive to a cdk4/6 inhibitor, and apatient-derived xenograft (pdx) naturally expressing the esr1-e6>yap1 fusion wasalso responsive. transcriptionally active esr1 fusions therefore trigger bothendocrine therapy resistance and metastatic progression, explaining theassociation with fatal disease progression, although cdk4/6 inhibitor treatmentis predicted to be effective."
"Baylor College of Medicine",18,"rna sequencing (rna-seq) detects estrogen receptor alpha gene (esr1) fusiontranscripts in estrogen receptor-positive (er+) breast cancer, but their role indisease pathogenesis remains unclear. we examined multiple esr1 fusions and foundthat two, both identified in advanced endocrine treatment-resistant disease,encoded stable and functional fusion proteins. in both examples, esr1-e6>yap1 andesr1-e6>pcdh11x, esr1 exons 1-6 were fused in frame to c-terminal sequences fromthe partner gene. functional properties include estrogen-independent growth,constitutive expression of er target genes, and anti-estrogen resistance. bothfusions activate a metastasis-associated transcriptional program, induce cellularmotility, and promote the development of lung metastasis. esr1-e6>yap1- andesr1-e6>pcdh11x-induced growth remained sensitive to a cdk4/6 inhibitor, and apatient-derived xenograft (pdx) naturally expressing the esr1-e6>yap1 fusion wasalso responsive. transcriptionally active esr1 fusions therefore trigger bothendocrine therapy resistance and metastatic progression, explaining theassociation with fatal disease progression, although cdk4/6 inhibitor treatmentis predicted to be effective."
"Baylor College of Medicine",18,"rna sequencing (rna-seq) detects estrogen receptor alpha gene (esr1) fusiontranscripts in estrogen receptor-positive (er+) breast cancer, but their role indisease pathogenesis remains unclear. we examined multiple esr1 fusions and foundthat two, both identified in advanced endocrine treatment-resistant disease,encoded stable and functional fusion proteins. in both examples, esr1-e6>yap1 andesr1-e6>pcdh11x, esr1 exons 1-6 were fused in frame to c-terminal sequences fromthe partner gene. functional properties include estrogen-independent growth,constitutive expression of er target genes, and anti-estrogen resistance. bothfusions activate a metastasis-associated transcriptional program, induce cellularmotility, and promote the development of lung metastasis. esr1-e6>yap1- andesr1-e6>pcdh11x-induced growth remained sensitive to a cdk4/6 inhibitor, and apatient-derived xenograft (pdx) naturally expressing the esr1-e6>yap1 fusion wasalso responsive. transcriptionally active esr1 fusions therefore trigger bothendocrine therapy resistance and metastatic progression, explaining theassociation with fatal disease progression, although cdk4/6 inhibitor treatmentis predicted to be effective."
