ha,favpts,undpts,spread,fav,und,year,wk,ot,day,ptdiff,favwin,night,diffout,cover,div
0,27,24,4,BUF,MIA,89,1,0,D,3,1,0,-1,0,afceast
1,24,27,2.5,NYJ,NE,89,1,0,D,-3,0,0,-5.5,0,afceast
1,10,24,6,NE,MIA,89,2,0,D,-14,0,0,-20,0,afceast
1,33,40,4,MIA,NYJ,89,3,0,D,-7,0,0,-11,0,afceast
1,10,17,3,NYJ,IND,89,4,0,D,-7,0,0,-10,0,afceast
1,31,10,7,BUF,NE,89,4,0,D,21,1,0,14,1,afceast
0,14,37,0,BUF,IND,89,5,0,D,-23,0,0,-23,0,afceast
1,34,3,7,BUF,NYJ,89,7,0,D,31,1,0,24,1,afceast
1,31,17,4,BUF,MIA,89,8,0,D,14,1,0,10,1,afceast
1,20,23,6,IND,NE,89,8,1,D,-3,0,0,-9,0,afceast
1,19,13,3,MIA,IND,89,9,0,D,6,1,0,3,1,afceast
1,26,27,7.5,NE,NYJ,89,9,0,D,-1,0,0,-8.5,0,afceast
1,30,7,6.5,BUF,IND,89,10,0,D,23,1,0,16.5,1,afceast
0,31,23,3,MIA,NYJ,89,10,0,D,8,1,0,5,1,afceast
0,24,33,6,BUF,NE,89,11,0,D,-9,0,0,-15,0,afceast
1,27,10,6,IND,NYJ,89,11,0,N,17,1,1,11,1,afceast
1,22,16,1.5,NE,IND,89,13,0,D,6,1,0,4.5,1,afceast
1,31,10,5,MIA,NE,89,14,0,N,21,1,1,16,1,afceast
1,42,13,0,IND,MIA,89,15,0,D,29,1,0,29,1,afceast
0,37,0,7,BUF,NYJ,89,16,0,S,37,1,0,30,1,afceast
0,27,24,1,MIA,NE,90,1,0,D,3,1,0,2,1,afceast
1,26,10,8,BUF,IND,90,1,0,D,16,1,0,8,1,afceast
1,14,16,2.5,IND,NE,90,2,0,D,-2,0,0,-4.5,0,afceast
0,7,30,2,BUF,MIA,90,2,0,D,-23,0,0,-25,0,afceast
0,30,7,2,BUF,NYJ,90,3,0,M,23,1,1,21,1,afceast
0,37,13,1,NYJ,NE,90,4,0,D,24,1,0,23,1,afceast
1,20,16,6,MIA,NYJ,90,5,0,D,4,1,0,-2,0,afceast
1,17,10,10,MIA,NE,90,7,0,H,7,1,1,-3,0,afceast
1,30,27,9,BUF,NYJ,90,7,0,D,3,1,0,-6,0,afceast
0,27,10,6.5,BUF,NE,90,8,0,D,17,1,0,10.5,1,afceast
0,27,7,2.5,MIA,IND,90,8,0,D,20,1,0,17.5,1,afceast
1,10,13,1,NE,IND,90,10,0,D,-3,0,0,-4,0,afceast
0,17,3,3,MIA,NYJ,90,10,0,D,14,1,0,11,1,afceast
1,14,0,14.5,BUF,NE,90,11,0,D,14,1,0,-0.5,0,afceast
0,14,17,2,NYJ,IND,90,11,0,D,-3,0,0,-5,0,afceast
0,31,7,5.5,BUF,IND,90,14,0,D,24,1,0,18.5,1,afceast
1,21,29,3.5,NYJ,IND,90,15,0,D,-8,0,0,-11.5,0,afceast
1,42,7,7,NYJ,NE,90,16,0,D,35,1,0,28,1,afceast
1,24,14,3.5,BUF,MIA,90,16,0,D,10,1,0,6.5,1,afceast
1,23,17,7.5,MIA,IND,90,17,0,D,6,1,0,-1.5,0,afceast
1,7,16,9,IND,NE,91,1,0,D,-9,0,0,-18,0,afceast
1,35,31,7,BUF,MIA,91,1,0,D,4,1,0,-3,0,afceast
1,17,6,8,MIA,IND,91,2,0,D,11,1,0,3,1,afceast
0,23,20,8,BUF,NYJ,91,3,0,D,3,1,0,-5,0,afceast
0,23,41,3,MIA,NYJ,91,5,0,D,-18,0,0,-21,0,afceast
0,20,10,6.5,MIA,NE,91,6,0,D,10,1,0,3.5,1,afceast
1,42,6,19.5,BUF,IND,91,7,0,D,36,1,0,16.5,1,afceast
0,17,6,12,NYJ,IND,91,8,0,D,11,1,0,-1,0,afceast
1,22,17,17.5,BUF,NE,91,10,0,D,5,1,0,-12.5,0,afceast
0,10,6,10,MIA,IND,91,10,0,D,4,1,0,-6,0,afceast
1,30,20,6.5,MIA,NE,91,11,0,N,10,1,1,3.5,1,afceast
1,27,28,13.5,NYJ,IND,91,11,0,D,-1,0,0,-14.5,0,afceast
0,28,21,2.5,NYJ,NE,91,12,0,D,7,1,0,4.5,1,afceast
0,41,27,4,BUF,MIA,91,12,0,M,14,1,1,10,1,afceast
0,13,16,8,BUF,NE,91,13,0,D,-3,0,0,-11,0,afceast
1,24,13,9,BUF,NYJ,91,14,0,D,11,1,0,2,1,afceast
1,23,17,7.5,NE,IND,91,15,1,D,6,1,0,-1.5,0,afceast
1,3,6,6.5,NYJ,NE,91,16,0,D,-3,0,0,-9.5,0,afceast
0,35,7,12,BUF,IND,91,16,0,N,28,1,1,16,1,afceast
1,20,23,6,MIA,NYJ,91,17,0,D,-3,0,0,-9,0,afceast
0,51,0,2.5,CLE,PIT,89,1,0,D,51,1,0,48.5,1,afccentral
1,41,10,10,CIN,PIT,89,2,0,D,31,1,0,21,1,afccentral
1,21,14,4,CIN,CLE,89,3,0,M,7,1,1,3,1,afccentral
0,26,16,4,CIN,PIT,89,5,0,D,10,1,0,6,1,afccentral
1,7,17,9,CLE,PIT,89,6,0,D,-10,0,0,-19,0,afccentral
1,27,0,10,HOU,PIT,89,7,0,D,27,1,0,17,1,afccentral
1,28,17,2.5,CLE,HOU,89,8,0,D,11,1,0,8.5,1,afccentral
1,26,24,6,HOU,CIN,89,10,0,M,2,1,1,-4,0,afccentral
1,0,21,4,CLE,CIN,89,13,0,D,-21,0,0,-25,0,afccentral
0,23,16,3,HOU,PIT,89,13,0,D,7,1,0,4,1,afccentral
1,61,7,3.5,CIN,HOU,89,15,0,D,54,1,0,50.5,1,afccentral
1,20,24,3.5,HOU,CLE,89,16,0,S,-4,0,0,-7.5,0,afccentral
1,13,3,3,CLE,PIT,90,1,0,D,10,1,0,7,1,afccentral
1,20,9,2.5,PIT,HOU,90,2,0,D,11,1,0,8.5,1,afccentral
1,48,17,3.5,HOU,CIN,90,6,0,D,31,1,0,27.5,1,afccentral
1,13,34,2.5,CLE,CIN,90,7,0,M,-21,0,1,-23.5,0,afccentral
0,35,23,3,HOU,CLE,90,11,0,D,12,1,0,9,1,afccentral
1,27,3,2.5,CIN,PIT,90,11,0,N,24,1,1,21.5,1,afccentral
1,12,16,4,PIT,CIN,90,13,0,D,-4,0,0,-8,0,afccentral
1,58,14,13,HOU,CLE,90,14,0,D,44,1,0,31,1,afccentral
0,20,40,2.5,HOU,CIN,90,16,0,D,-20,0,0,-22.5,0,afccentral
1,35,0,10.5,PIT,CLE,90,16,0,D,35,1,0,24.5,1,afccentral
1,21,14,16.5,CIN,CLE,90,17,0,D,7,1,0,-9.5,0,afccentral
0,14,34,1.5,PIT,HOU,90,17,0,N,-20,0,1,-21.5,0,afccentral
1,7,30,2,CIN,HOU,91,2,0,N,-23,0,1,-25,0,afccentral
0,13,14,3.5,CIN,CLE,91,3,0,D,-1,0,0,-4.5,0,afccentral
1,35,3,13,HOU,CIN,91,9,0,D,32,1,0,19,1,afccentral
1,17,14,1.5,CLE,PIT,91,9,0,D,3,1,0,1.5,1,afccentral
0,21,23,2.5,CLE,CIN,91,10,0,D,-2,0,0,-4.5,0,afccentral
1,27,33,1.5,CIN,PIT,91,11,1,D,-6,0,0,-7.5,0,afccentral
1,28,24,13,HOU,CLE,91,12,0,N,4,1,1,-9,0,afccentral
0,14,26,6.5,HOU,PIT,91,13,0,D,-12,0,0,-18.5,0,afccentral
