wk,vs,team1,spread,avgdiff1,team2,avgdiff2,cover1
2,BUF-DEN,BUF,6.5,3,DEN,14,0
3,BUF-HOU,BUF,-3.5,-5.5,HOU,-12,0
4,BUF-NE,BUF,7,-1.6666666666666667,NE,-10.666666666666666,1
5,BUF-IND,BUF,0,4,IND,-2.25,0
6,BUF-LAN,BUF,-3.5,-1.4,LAN,8,0
7,BUF-NYJ,BUF,7,-0.6666666666666666,NYJ,-6.5,1
8,BUF-MIA,BUF,4,3.857142857142857,MIA,-2.142857142857143,1
9,BUF-ATL,BUF,3,5.125,ATL,-5.25,0
10,BUF-IND,BUF,6.5,4.333333333333333,IND,0.5555555555555556,1
11,BUF-NE,BUF,6,6.2,NE,-6.3,0
12,BUF-CIN,BUF,3,4.818181818181818,CIN,6.909090909090909,1
13,BUF-SEA,BUF,5.5,5.833333333333333,SEA,-5.916666666666667,0
14,BUF-NO,BUF,6,5.3076923076923075,NO,2.8461538461538463,0
15,BUF-SF,BUF,-6.5,4.714285714285714,SF,10.857142857142858,1
16,BUF-NYJ,BUF,7,3.6666666666666665,NYJ,-8.066666666666666,1
2,CHI-MIN,CHI,0,3,MIN,31,1
3,CHI-DET,CHI,7,17,DET,-6.5,1
4,CHI-PHA,CHI,3.5,18,PHA,6.333333333333333,1
5,CHI-TB,CHI,4.5,17,TB,-1.5,0
6,CHI-HOU,CHI,7,12.2,HOU,-1.6,0
7,CHI-CLE,CHI,-1,9.333333333333334,CLE,8,1
8,CHI-LAN,CHI,2.5,5.142857142857143,LAN,2.5714285714285716,1
9,CHI-GB,CHI,3,5.75,GB,0.5,0
10,CHI-PIT,CHI,3.5,5,PIT,-10.777777777777779,1
11,CHI-TB,CHI,10,6.5,TB,-6.2,0
12,CHI-WAS,CHI,0,5.818181818181818,WAS,0,0
13,CHI-MIN,CHI,-6,3.3333333333333335,MIN,3.0833333333333335,1
14,CHI-DET,CHI,6.5,2.230769230769231,DET,-7.3076923076923075,0
15,CHI-GB,CHI,1.5,1.3571428571428572,GB,-1.1428571428571428,0
16,CHI-SF,CHI,-9,0.4666666666666667,SF,10.866666666666667,1
2,CLE-NYJ,CLE,7,51,NYJ,-3,1
3,CLE-CIN,CLE,-4,32.5,CIN,14,1
4,CLE-DEN,CLE,5.5,19.333333333333332,DEN,12.666666666666666,0
5,CLE-MIA,CLE,3.5,15.25,MIA,-7,0
6,CLE-PIT,CLE,9,11.6,PIT,-11.8,0
7,CLE-CHI,CLE,1,8,CHI,9.333333333333334,1
8,CLE-HOU,CLE,2.5,9.714285714285714,HOU,3.4285714285714284,1
9,CLE-TB,CLE,3,9.875,TB,-4.625,1
10,CLE-SEA,CLE,2.5,10,SEA,-2.4444444444444446,1
11,CLE-KC,CLE,7,10,KC,-2.1,0
12,CLE-DET,CLE,6,9.090909090909092,DET,-9.545454545454545,0
13,CLE-CIN,CLE,4,8.083333333333334,CIN,4.916666666666667,0
14,CLE-IND,CLE,1,5.846153846153846,IND,-0.23076923076923078,0
15,CLE-MIN,CLE,-1.5,5,MIN,5.285714285714286,0
16,CLE-HOU,CLE,-3.5,5.066666666666666,HOU,-2.8666666666666667,0
2,NO-GB,NO,4.5,28,GB,-2,0
3,NO-TB,NO,2.5,13.5,TB,-1,0
4,NO-WAS,NO,-1.5,5.666666666666667,WAS,5,1
5,NO-SF,NO,-4,3.75,SF,4.75,1
6,NO-NYJ,NO,5.5,2.2,NYJ,-4.8,1
7,NO-LAN,NO,-7,4.333333333333333,LAN,6.166666666666667,0
8,NO-ATL,NO,7,6.428571428571429,ATL,-5,1
9,NO-SF,NO,-6,6.5,SF,8.75,1
10,NO-NE,NO,2.5,3.7777777777777777,NE,-6.555555555555555,1
11,NO-ATL,NO,3,3.8,ATL,-8.2,1
12,NO-LAN,NO,-0,4.2727272727272725,LAN,4.545454545454546,1
13,NO-DET,NO,4,3.6666666666666665,DET,-8.5,0
14,NO-BUF,NO,-6,2.8461538461538463,BUF,5.3076923076923075,0
15,NO-PHA,NO,-1,2.857142857142857,PHA,4.357142857142857,0
16,NO-IND,NO,2.5,3.3333333333333335,IND,2.1333333333333333,1
2,MIN-CHI,MIN,-0,31,CHI,3,1
3,MIN-PIT,MIN,8.5,0,PIT,-41,0
4,MIN-TB,MIN,8,-4.333333333333333,TB,2.6666666666666665,1
5,MIN-DET,MIN,12,0.25,DET,-13.25,0
6,MIN-GB,MIN,6.5,1.6,GB,3.2,1
7,MIN-DET,MIN,7.5,3.3333333333333335,DET,-9.833333333333334,1
8,MIN-NYG,MIN,-2,4.714285714285714,NYG,9.428571428571429,1
9,MIN-LAN,MIN,4.5,2.875,LAN,1,0
10,MIN-TB,MIN,5.5,2.7777777777777777,TB,-5.333333333333333,1
11,MIN-PHA,MIN,1,3.9,PHA,1.6,0
12,MIN-GB,MIN,3,3.4545454545454546,GB,0,0
13,MIN-CHI,MIN,6,3.0833333333333335,CHI,3.3333333333333335,1
14,MIN-ATL,MIN,12,3.6923076923076925,ATL,-9.538461538461538,1
15,MIN-CLE,MIN,1.5,5.285714285714286,CLE,5,0
16,MIN-CIN,MIN,6,4.533333333333333,CIN,8.466666666666667,1
2,DEN-BUF,DEN,-6.5,14,BUF,3,0
3,DEN-LAA,DEN,6.5,14,LAA,10.5,1
4,DEN-CLE,DEN,-5.5,12.666666666666666,CLE,19.333333333333332,0
5,DEN-SD,DEN,7,8.75,SD,-1.75,0
6,DEN-IND,DEN,5,8.2,IND,2.8,1
7,DEN-SEA,DEN,-3,8.666666666666666,SEA,-2,0
8,DEN-PHA,DEN,3,7.857142857142857,PHA,3.142857142857143,0
9,DEN-PIT,DEN,7.5,6.375,PIT,-8.75,1
10,DEN-KC,DEN,-0,8.666666666666666,KC,-2,0
11,DEN-WAS,DEN,-2.5,8.1,WAS,0.4,0
12,DEN-SEA,DEN,9.5,7.7272727272727275,SEA,-4,1
13,DEN-LAA,DEN,-1.5,9.333333333333334,LAA,3,1
14,DEN-NYG,DEN,3,8.384615384615385,NYG,4.384615384615385,0
15,DEN-PHX,DEN,7,7.285714285714286,PHX,-4.642857142857143,1
16,DEN-SD,DEN,2.5,9.266666666666667,SD,-1.8,0
2,LAN-IND,LAN,6,10,IND,-6,1
3,LAN-GB,LAN,10,12,GB,-0.5,0
4,LAN-SF,LAN,-5,9,SF,6.666666666666667,0
5,LAN-ATL,LAN,10.5,7,ATL,-2.5,1
6,LAN-BUF,LAN,3.5,8,BUF,-1.4,0
7,LAN-NO,LAN,7,6.166666666666667,NO,4.333333333333333,0
8,LAN-CHI,LAN,-2.5,2.5714285714285716,CHI,5.142857142857143,1
9,LAN-MIN,LAN,-4.5,1,MIN,2.875,0
10,LAN-NYG,LAN,2.5,0.6666666666666666,NYG,9.222222222222221,1
11,LAN-PHX,LAN,10.5,2.7,PHX,-2,1
12,LAN-NO,LAN,0,4.545454545454546,NO,4.2727272727272725,1
13,LAN-DAL,LAN,9.5,4.416666666666667,DAL,-12.5,0
14,LAN-SF,LAN,0,4.384615384615385,SF,11.461538461538462,0
15,LAN-NYJ,LAN,11,3.857142857142857,NYJ,-6.928571428571429,1
16,LAN-NE,LAN,7,5.2,NE,-6,0
2,NYJ-CLE,NYJ,-7,-3,CLE,51,1
3,NYJ-MIA,NYJ,-4,-8.5,MIA,5.5,0
4,NYJ-IND,NYJ,3,-3.3333333333333335,IND,-5.333333333333333,0
5,NYJ-LAA,NYJ,3,-4.25,LAA,1.75,0
6,NYJ-NO,NYJ,-5.5,-4.8,NO,2.2,1
7,NYJ-BUF,NYJ,-7,-6.5,BUF,-0.6666666666666666,1
8,NYJ-SF,NYJ,-8.5,-10,SF,8.142857142857142,1
9,NYJ-NE,NYJ,-7.5,-10.375,NE,-7.25,0
10,NYJ-MIA,NYJ,-3,-9.11111111111111,MIA,-2.5555555555555554,1
11,NYJ-IND,NYJ,-6,-9,IND,-1.8,1
12,NYJ-ATL,NYJ,2,-9.727272727272727,ATL,-8.272727272727273,1
13,NYJ-SD,NYJ,-4.5,-7.25,SD,-2.1666666666666665,0
14,NYJ-PIT,NYJ,1.5,-6.461538461538462,PIT,-7.769230769230769,0
15,NYJ-LAN,NYJ,-11,-6.928571428571429,LAN,3.857142857142857,1
16,NYJ-BUF,NYJ,-7,-8.066666666666666,BUF,3.6666666666666665,1
2,PHX-SEA,PHX,-7,3,SEA,-24,0
3,PHX-NYG,PHX,-7.5,6.5,NYG,6.5,1
4,PHX-SD,PHX,4,-5,SD,-6,0
5,PHX-WAS,PHX,-9.5,-6.5,WAS,4.25,0
6,PHX-PHA,PHX,-3.5,-5.6,PHA,1.4,1
7,PHX-ATL,PHX,2,-6.666666666666667,ATL,-3.5,1
8,PHX-DAL,PHX,4,-3.7142857142857144,DAL,-16.714285714285715,1
9,PHX-NYG,PHX,-3,-2.125,NYG,9.5,1
10,PHX-DAL,PHX,7,-2.6666666666666665,DAL,-12.88888888888889,0
11,PHX-LAN,PHX,-10.5,-2,LAN,2.7,1
12,PHX-TB,PHX,1.5,-3.909090909090909,TB,-5.545454545454546,0
13,PHX-WAS,PHX,-4,-3.6666666666666665,WAS,2,1
14,PHX-LAA,PHX,-9,-4.846153846153846,LAA,3,0
15,PHX-DEN,PHX,-7,-4.642857142857143,DEN,7.285714285714286,1
16,PHX-PHA,PHX,-12,-6.8,PHA,3.4,1
2,LAA-KC,LAA,-2,26,KC,-14,1
3,LAA-DEN,LAA,-6.5,10.5,DEN,14,1
4,LAA-SEA,LAA,1,3.6666666666666665,SEA,-4.333333333333333,0
5,LAA-NYJ,LAA,-3,1.75,NYJ,-4.25,0
6,LAA-KC,LAA,3,2.8,KC,-4.8,1
7,LAA-PHA,LAA,-6.5,3.3333333333333335,PHA,3.1666666666666665,0
8,LAA-WAS,LAA,-2,2.4285714285714284,WAS,2.857142857142857,0
9,LAA-CIN,LAA,-1.5,3.75,CIN,8,0
10,LAA-SD,LAA,2.5,5.666666666666667,SD,-2.3333333333333335,0
11,LAA-HOU,LAA,-5,4.9,HOU,1.9,1
12,LAA-NE,LAA,6.5,3,NE,-4.909090909090909,0
13,LAA-DEN,LAA,1.5,3,DEN,9.333333333333334,1
14,LAA-PHX,LAA,9,3,PHX,-4.846153846153846,0
15,LAA-SEA,LAA,-0,2.9285714285714284,SEA,-4.5,1
16,LAA-NYG,LAA,-6.5,2.3333333333333335,NYG,5.266666666666667,1
2,SF-TB,SF,7.5,6,TB,2,0
3,SF-PHA,SF,-1.5,5,PHA,14.5,0
4,SF-LAN,SF,5,6.666666666666667,LAN,9,0
5,SF-NO,SF,4,4.75,NO,3.75,1
6,SF-DAL,SF,14,4.6,DAL,-18.4,1
7,SF-NE,SF,11,6.666666666666667,NE,-7.333333333333333,1
8,SF-NYJ,SF,8.5,8.142857142857142,NYJ,-10,1
9,SF-NO,SF,6,8.75,NO,6.5,1
10,SF-ATL,SF,10.5,9.777777777777779,ATL,-4.444444444444445,1
11,SF-GB,SF,10,13,GB,-0.4,0
12,SF-NYG,SF,5,11.454545454545455,NYG,6.7272727272727275,1
13,SF-ATL,SF,9.5,11.333333333333334,ATL,-9.25,1
14,SF-LAN,SF,-0,11.461538461538462,LAN,4.384615384615385,0
15,SF-BUF,SF,6.5,10.857142857142858,BUF,4.714285714285714,1
16,SF-CHI,SF,9,10.866666666666667,CHI,0.4666666666666667,1
2,PHA-WAS,PHA,-3,24,WAS,-3,0
3,PHA-SF,PHA,1.5,14.5,SF,5,0
4,PHA-CHI,PHA,-3.5,6.333333333333333,CHI,18,1
5,PHA-NYG,PHA,3,1.25,NYG,14.5,0
6,PHA-PHX,PHA,3.5,1.4,PHX,-5.6,1
7,PHA-LAA,PHA,6.5,3.1666666666666665,LAA,3.3333333333333335,0
8,PHA-DEN,PHA,-3,3.142857142857143,DEN,7.857142857142857,0
9,PHA-SD,PHA,4,3.25,SD,-3,0
10,PHA-WAS,PHA,5,2.5555555555555554,WAS,-0.3333333333333333,0
11,PHA-MIN,PHA,-1,1.6,MIN,3.9,0
12,PHA-DAL,PHA,6,1.5454545454545454,DAL,-11.181818181818182,1
13,PHA-NYG,PHA,-3,3.6666666666666665,NYG,5.333333333333333,0
14,PHA-DAL,PHA,12,3.923076923076923,DAL,-11.846153846153847,0
15,PHA-NO,PHA,1,4.357142857142857,NO,2.857142857142857,0
