city  age   cases   m   lat
1 1 18 991371 1
1 2 25 199104 1
1 3 33 209192 1
1 4 39 146400 1
1 5 18 82961 1
1 6 13 44096 1
2 1 10 578107 1
2 2 11 126436 1
2 3 29 147028 1
2 4 21 114706 1
2 5 14 62927 1
2 6 19 36832 1
3 1 14 544233 1
3 2 15 95490 1
3 3 15 87076 1
3 4 14 62268 1
3 5 8 37391 1
3 6 16 23093 1
4 1 19 766551 1
4 2 25 143505 1
4 3 21 149687 1
4 4 30 127366 1
4 5 23 87629 1
4 6 32 57829 1
5 1 31 651471 2
5 2 23 120750 2
5 3 36 111201 2
5 4 28 80498 2
5 5 17 48097 2
5 6 18 29347 2
6 1 47 718136 2
6 2 40 152522 2
6 3 59 160101 2
6 4 29 119975 2
6 5 24 67645 2
6 6 16 37912 2
7 1 21 331153 3
7 2 21 69396 3
7 3 17 59886 3
7 4 21 37229 3
7 5 5 17938 3
7 6 5 8347 3
8 1 9 142893 3
8 2 9 30816 3
8 3 10 30675 3
8 4 3 23513 3
8 5 9 13902 3
8 6 4 6787 3
9 1 34 600200 3
9 2 45 120195 3
9 3 41 107558 3
9 4 39 73342 3
9 5 31 38868 3
9 6 18 19099 3
