smoking y
  1  1.1704317
  1  5.1689497
  1  4.8440229
  1  2.5401477
  1  2.7793911
  1  1.8256079
  1  2.2599411
  1  6.1021447
  1  5.4366602
  1  2.9387823
  1  6.5078405
  1  2.2189440
  1  2.8280983
  1  2.2938599
  1  5.1368869
  1  7.5300625
  1  4.1140704
  1  2.1463710
  1  2.4434881
  1  3.5329692
  1  5.5613301
  2  2.9120881
  2  0.6527043
  2 -0.4858333
  2  1.7696153
  2  2.9192065
  2  6.5668087
  2  0.9454666
  2  2.8150809
  2  4.1778778
  2  5.7474839
  2  3.8048480
  2  1.9209313
  2  4.3190935
  2  3.5941572
  2  6.2537934
  2  4.9184447
  2  4.3928099
  2  4.3586605
  2  2.6565863
  2  2.1269304
  2  1.4632459
  3  1.9167945
  3  3.8842274
  3  3.3301228
  3  3.7983117
  3  4.4379390
  3  0.8071702
  3 -0.1270375
  3  1.2780920
  3  4.2042636
  3  6.4580391
  3  2.5457484
  3  1.7537746
  3  2.9951117
  3  1.5498405
  3  0.1686065
  3  3.1209938
  3  4.2146394
  3  4.1286233
  3 -0.4511659
  3  3.9452903
  3  0.4306144
