Effect,Subject,Estimate,StdErrPred,DF,tValue,Probt
Intercept,id 100012,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100023,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 100034,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 100045,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100056,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 100067,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100078,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100089,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100102,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 100113,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 100124,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100146,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 100157,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100168,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100179,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100190,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100203,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100214,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100236,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 100247,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 100258,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100269,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 100280,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100291,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100304,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100326,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 100348,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100359,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100370,1.8879,0.5339,5396,3.54,0.0004
Intercept,id 100381,1.8029,0.7885,5396,2.29,0.0223
Intercept,id 100392,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100405,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100416,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100427,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100460,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 100471,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100493,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100506,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 100517,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100528,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 100539,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100550,0.7923,0.9567,5396,0.83,0.4076
Intercept,id 100561,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100572,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100583,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100594,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100640,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100673,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 100719,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100730,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100741,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100752,3.2736,0.2702,5396,12.12,<.0001
Intercept,id 100763,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100820,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100864,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100910,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 100921,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 100943,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 100954,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 100965,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101035,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101046,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 101068,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101079,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 101090,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 101103,2.2386,0.5461,5396,4.10,<.0001
Intercept,id 101125,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101147,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 101169,1.8879,0.5339,5396,3.54,0.0004
Intercept,id 101191,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 101204,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101237,-0.4956,1.1977,5396,-0.41,0.6791
Intercept,id 101248,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 101259,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 101270,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 101316,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 101360,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 101382,2.3411,0.4386,5396,5.34,<.0001
Intercept,id 101406,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101417,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 101428,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101439,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 101507,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 101518,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101540,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 101562,1.2081,0.7283,5396,1.66,0.0972
Intercept,id 101608,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 101619,-0.4075,1.2346,5396,-0.33,0.7414
Intercept,id 101641,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 101652,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 101674,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101685,-0.1730,1.3522,5396,-0.13,0.8982
Intercept,id 101720,1.7582,0.5293,5396,3.32,0.0009
Intercept,id 101731,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 101753,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101876,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101911,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 101966,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102025,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 102036,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 102047,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 102091,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102137,-0.3028,1.2832,5396,-0.24,0.8135
Intercept,id 102148,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102205,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102216,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102227,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102271,-0.3203,1.2746,5396,-0.25,0.8016
Intercept,id 102306,2.1373,0.4796,5396,4.46,<.0001
Intercept,id 102361,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102383,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102462,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 102484,1.5692,0.6095,5396,2.57,0.0101
Intercept,id 102495,0.3968,0.8852,5396,0.45,0.6540
Intercept,id 102519,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102541,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102552,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102563,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102574,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102596,0.4905,0.9007,5396,0.54,0.5861
Intercept,id 102609,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 102620,-0.5718,1.1684,5396,-0.49,0.6246
Intercept,id 102631,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 102653,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102664,-0.6276,1.1483,5396,-0.55,0.5847
Intercept,id 102710,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 102721,1.1357,0.7221,5396,1.57,0.1158
Intercept,id 102743,1.0222,0.7124,5396,1.44,0.1513
Intercept,id 102787,-0.6276,1.1483,5396,-0.55,0.5847
