id	par1	par2
1	-1.0521	-0.07722
10	-4.7068	0.1766
11	-3.3905	-0.1399
12	4.0293	0.06389
13	-1.1989	0.1102
14	-2.3859	-0.3200
15	-1.5834	-0.4037
16	4.3992	-0.1330
17	2.6896	-0.2129
18	-6.4033	-0.04026
19	1.4074	-0.1891
2	2.9090	0.2284
20	5.1665	-0.1298
21	1.2341	0.1031
22	-2.1102	-0.1197
23	-2.6095	0.1725
24	6.7042	0.2163
25	-0.5468	0.02191
26	0.7133	0.1795
27	-2.1713	0.05064
28	-1.7830	0.2164
29	2.2534	-0.1455
3	1.6416	-0.03429
30	-0.2077	0.08385
31	-3.1237	-0.09204
32	1.0626	-0.03455
33	-1.7869	-0.09655
34	-0.1224	-0.1446
35	4.2922	-0.1017
36	-3.3265	0.2276
37	-1.3319	0.03495
4	0.8565	-0.02125
5	-0.00089	0.2643
6	-3.9973	-0.1568
7	1.9631	0.1496
8	-2.6083	0.2282
9	5.1254	0.06494
