StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_3_TEXT,Q4,Q4_1_TEXT,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q14_1_TEXT,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a Graduate or Undergraduate student?,What is your ethnicity?,What is your gender? - Selected Choice,What is your gender? - Other - Text,How old are you in years? - Selected Choice,How old are you in years? - Years - Text,Which best describes your current work schedule?,What is your marital status?,How many hours of class are you taking this semester?,Do you have an iPhone?,Which of the following best describes your smoking habits?,Which of the following best describes your alcohol drinking habits?,How often do you exercise at least 30 minutes a day?,Which of the following best describes your consumption of fast food?,Which of the following best describes how often you get at least 7 hours of sleep a night?,"If you have an iPhone, using the ""Screentime"" app on your phone, in the last 7 days, how much screen time did you average per day? - Selected Choice","If you have an iPhone, using the ""Screentime"" app on your phone, in the last 7 days, how much screen time did you average per day? - Hours and Minutes - Text","Since your phone does not track screen time, if you had to take a guess, how many hours a day do you spend on your phone?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID125107479""}","{""ImportId"":""QID125107490""}","{""ImportId"":""QID125107501""}","{""ImportId"":""QID125107501_3_TEXT""}","{""ImportId"":""QID125107503""}","{""ImportId"":""QID125107503_1_TEXT""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113_TEXT""}","{""ImportId"":""QID125107504""}","{""ImportId"":""QID125107481""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID125107482""}","{""ImportId"":""QID125107482_1_TEXT""}","{""ImportId"":""QID110_TEXT""}"
2019-03-20 18:17:06,2019-03-20 18:19:24,IP Address,99.69.16.149,100,138,True,2019-03-20 18:19:25,R_1MZn7CSTPaP2WWP,,,,,35.91510009765625,-79.097198486328125,anonymous,EN,Graduate,Other,Female,,,,,,,Yes,None,1-7 drinks per week,2-5 times a week,Once a month,6-7 nights a week,Hours and Minutes,2 hour and 27 minutes,
2019-03-20 18:28:59,2019-03-20 18:33:00,IP Address,45.37.108.94,100,240,True,2019-03-20 18:33:00,R_2WMd4bTtoIK01E6,,,,,35.9203033447265625,-79.037200927734375,anonymous,EN,Undergraduate,White,Female,,,,,,,Yes,Once a month,Never,2-5 times a week,6-7 times a week,Never,Hours and Minutes,4h 20m,
2019-03-20 18:46:38,2019-03-20 18:50:13,IP Address,99.173.135.88,100,215,True,2019-03-20 18:50:13,R_3hyhFhqNiPrVqMH,,,,,35.91510009765625,-79.097198486328125,anonymous,EN,Graduate,White,Female,,,,,,,Yes,None,1-7 drinks per week,Once a week,Never,6-7 nights a week,Hours and Minutes,3 hr 9 min,
2019-03-21 09:04:23,2019-03-21 09:04:59,IP Address,152.23.57.2,100,36,True,2019-03-21 09:04:59,R_dd0hwRZG8mTpugx,,,,,36.0525054931640625,-79.107696533203125,anonymous,EN,,,,,,,,,,,,,,,,,,
2019-03-21 09:14:25,2019-03-21 09:18:09,Spam,152.23.57.2,100,224,True,2019-03-21 09:18:10,R_us2z0lCS986IiVb,,,,,36.0525054931640625,-79.107696533203125,anonymous,EN,,,,,,,,,,,,,,,,,,
2019-03-21 09:27:43,2019-03-22 11:09:44,IP Address,24.211.136.126,100,92521,True,2019-03-22 11:09:45,R_2SHwYS8Lp0haK4w,,,,,35.9203033447265625,-79.037200927734375,anonymous,EN,,,,,,,,,,,,,,,,,,
2019-03-22 11:09:50,2019-03-22 11:19:40,Spam,24.211.136.126,100,589,True,2019-03-22 11:19:40,R_t0scTJtUyM7Fha9,,,,,35.9203033447265625,-79.037200927734375,anonymous,EN,,,,,,,,,,,,,,,,,,
2019-03-22 19:03:35,2019-03-22 19:27:02,IP Address,75.138.216.22,100,1406,True,2019-03-22 19:27:02,R_10NvD3ziLoj8swS,,,,,34.4954071044921875,-77.55500030517578125,anonymous,EN,,,,,,,,,,,,,,,,My phone doesn't track this,,
